Tidsstempel,Group A,Group B,Group C,Group D,Group E,Name
26/07/2025 17.02.51,,hungrybrowny,,,,Moggles
26/07/2025 17.35.08,Lewis,hungrybrowny,,,Faith,Cvaekt
14/08/2025 15.37.43,Lewis,Reddydas,backwardshello,Aty,,My2Karma
27/07/2025 18.26.59,reload,Phantom,,,Hynips,Drregron
27/07/2025 18.40.08,Karma/My2Karma,hungrybrowny,mouceen,Nappa,,Ernie 
27/07/2025 18.51.58,,,Aaz3,,Faith,hammurabi
31/07/2025 20.22.56,,,,jihapse,,Wiolarz
31/07/2025 20.50.06,reload,Reddydas,mouceen,jihapse,Tilty,Epona
02/08/2025 09.38.28,Lewis,Luke,Aaz3,,Rimuru,Dasher
24/08/2025 16.11.16,Lewis,Reddydas,Aaz3,Jeri,Faith,Catnip
19/08/2025 18.46.54,reload,Phantom,pandapanther,jihapse,Rimuru,Bert
03/08/2025 18.08.58,Lewis,hungrybrowny,Aaz3,Jeri,,Owl
03/08/2025 18.32.25,reload,hungrybrowny,,jihapse,,Click
09/08/2025 23.16.25,reload,,,,Rimuru,Sparto
09/08/2025 23.49.17,,,,,,hammurabi
24/08/2025 18.44.16,Karma/My2Karma,hungrybrowny,mouceen,Nappa,Faith,Ernie
17/08/2025 17.29.35,reload,Phantom,play,Leiya,Rimuru,Jeri
15/08/2025 14.36.19,Ragicarpe,Phantom,play,Leiya,Hynips,canin
