Tidsstempel,Group A,Group B,Group C,Group D,Group E,Name
26/07/2025 17.02.51,,hungrybrowny,,,,Moggles
26/07/2025 17.35.08,Lewis,hungrybrowny,,,Faith,Cvaekt
14/08/2025 15.37.43,Lewis,Reddydas,backwardshello,Aty,,My2Karma
27/07/2025 18.26.59,reload,Phantom,,,Hynips,Drregron
27/07/2025 18.40.08,Karma/My2Karma,hungrybrowny,mouceen,Nappa,,Ernie 
27/07/2025 18.51.58,,,Aaz3,,Faith,hammurabi
31/07/2025 20.22.56,,,,jihapse,,Wiolarz
28/08/2025 15.32.07,backwardshello,Phantom,Reddydas,Nappa,Ragicarpe,Epona
02/08/2025 09.38.28,Lewis,Luke,Aaz3,,Rimuru,Dasher
31/08/2025 10.02.25,mouceen,Phantom,hungrybrowny,Reddydas,Exy-,Catnip
19/08/2025 18.46.54,reload,Phantom,pandapanther,jihapse,Rimuru,Bert
03/08/2025 18.08.58,Lewis,hungrybrowny,Aaz3,Jeri,,Owl
03/08/2025 18.32.25,reload,hungrybrowny,,jihapse,,Click
09/08/2025 23.16.25,reload,,,,Rimuru,Sparto
09/08/2025 23.49.17,,,,,,hammurabi
31/08/2025 00.09.10,backwardshello,hungrybrowny,Reddydas,Nappa,Hynips,Ernie
31/08/2025 13.29.38,Magma,Phantom,YaBoiTheJebait,Nappa,reload,Jeri
27/08/2025 18.47.40,Phantom,Reddydas,Nappa,Jeri,Ragicarpe,canin
