,match_id,start_time,radiant_team_id,dire_team_id,radiant_team_accs,radiant_team_name,dire_team_accs,dire_team_name,series_name
0,8861290132,1782074631,10176572,10176567,"89873399, 94343419, 69119093, 319850520, 86776312",m.,"130098742, 58725449, 161190694, 129082342, 50964",BErt,"BErt, m."
1,8861200185,1782069545,10176572,10176567,"89873399, 319850520, 86776312, 94343419, 69119093",m.,"130098742, 129082342, 161190694, 58725449, 50964",BErt,"BErt, m."
2,8861190696,1782069065,10176496,10034540,"175746418, 422283824, 112672935, 173872364, 182656537",Raytoran,"133674320, 1536452978, 118235025, 365812035, 105128443",SHNiTZEL,"Raytoran, SHNiTZEL"
3,8861183866,1782068692,10175830,10176569,"94051629, 417265967, 46739074, 23765698, 99374795",Ayanakoji,"186001678, 94550441, 65159250, 106984632, 1283601896",Eeshie,"Ayanakoji, Eeshie"
4,8861119834,1782065398,10176496,10034540,"422283824, 175746418, 173872364, 112672935, 182656537",Raytoran,"133674320, 105128443, 1536452978, 118235025, 365812035",SHNiTZEL,"Raytoran, SHNiTZEL"
5,8861118503,1782065333,10176570,10176573,"116643277, 30428142, 170319481, 127527866, 178226288",Catnip,"207300381, 122913479, 345032134, 149253098, 48903560",AA,"AA, Catnip"
6,8861117338,1782065272,10176572,10176567,"89873399, 69119093, 86776312, 94343419, 319850520",m.,"130098742, 129082342, 161190694, 58725449, 50964",BErt,"BErt, m."
7,8861114677,1782065141,10176569,10175830,"94550441, 186001678, 65159250, 1283601896, 106984632",Eeshie,"94051629, 417265967, 46739074, 23765698, 99374795",Ayanakoji,"Ayanakoji, Eeshie"
8,8855972569,1781729040,10176567,10176570,"130098742, 170319481, 129082342, 58725449, 50964",BErt,"30428142, 116643277, 433060499, 127527866, 178226288",Catnip,"BErt, Catnip"
9,8855954418,1781727893,10034540,10175830,"133674320, 105128443, 365812035, 118235025, 1536452978",SHNiTZEL,"94051629, 46739074, 417265967, 115108146, 99374795",Ayanakoji,"Ayanakoji, SHNiTZEL"
10,8855910724,1781725312,10176572,10176569,"89873399, 319850520, 94343419, 69119093, 86776312",m.,"94550441, 65159250, 106984632, 279050958, 1283601896",Eeshie,"Eeshie, m."
11,8855882840,1781723762,10034540,10175830,"133674320, 1536452978, 365812035, 105128443, 118235025",SHNiTZEL,"94051629, 417265967, 46739074, 99374795, 115108146",Ayanakoji,"Ayanakoji, SHNiTZEL"
12,8855882092,1781723694,10176570,10176567,"433060499, 30428142, 116643277, 127527866, 178226288",Catnip,"130098742, 170319481, 129082342, 58725449, 50964",BErt,"BErt, Catnip"
13,8855872627,1781723207,10176573,10176496,"207300381, 122913479, 149253098, 48903560, 345032134",AA,"40625516, 422283824, 1915711283, 112672935, 182656537",Raytoran,"AA, Raytoran"
14,8855838144,1781721318,10176572,10176569,"89873399, 94343419, 86776312, 69119093, 319850520",m.,"279050958, 106984632, 65159250, 94550441, 1283601896",Eeshie,"Eeshie, m."
15,8855809762,1781719670,10176570,10176567,"433060499, 116643277, 30428142, 127527866, 178226288",Catnip,"130098742, 129082342, 170319481, 58725449, 50964",BErt,"BErt, Catnip"
16,8855808731,1781719615,10176496,10176573,"422283824, 1915711283, 40625516, 112672935, 182656537",Raytoran,"207300381, 149253098, 122913479, 48903560, 345032134",AA,"AA, Raytoran"
17,8855805623,1781719441,10034540,10175830,"133674320, 1536452978, 365812035, 105128443, 118235025",SHNiTZEL,"94051629, 46739074, 417265967, 115108146, 99374795",Ayanakoji,"Ayanakoji, SHNiTZEL"
18,8852316951,1781471548,10176572,10175830,"89873399, 400190476, 249157519, 69119093, 86776312",m.,"94051629, 417265967, 204524065, 23765698, 99374795",Ayanakoji,"Ayanakoji, m."
19,8852283239,1781469404,10176573,10176567,"207300381, 48903560, 170319481, 149253098, 345032134",AA,"130098742, 129082342, 161190694, 58725449, 50964",BErt,"AA, BErt"
20,8852198744,1781464761,10176572,10175830,"89873399, 249157519, 400190476, 86776312, 69119093",m.,"94051629, 417265967, 99374795, 23765698, 204524065",Ayanakoji,"Ayanakoji, m."
21,8852193155,1781464503,10176567,10176573,"130098742, 58725449, 161190694, 129082342, 50964",BErt,"170319481, 149253098, 207300381, 48903560, 345032134",AA,"AA, BErt"
22,8852191384,1781464432,10176496,10176570,"422283824, 40625516, 112672935, 1915711283, 182656537",Raytoran,"433060499, 116643277, 30428142, 178226288, 127527866",Catnip,"Catnip, Raytoran"
23,8852190897,1781464397,10034540,10176569,"133674320, 105128443, 118235025, 1536452978, 859609158",SHNiTZEL,"186001678, 94550441, 65159250, 106984632, 1283601896",Eeshie,"Eeshie, SHNiTZEL"
24,8852114049,1781460675,10176569,10034540,"94550441, 106984632, 186001678, 65159250, 1283601896",Eeshie,"133674320, 105128443, 1536452978, 118235025, 859609158",SHNiTZEL,"Eeshie, SHNiTZEL"
25,8852111304,1781460521,10176570,10176496,"433060499, 116643277, 30428142, 178226288, 127527866",Catnip,"40625516, 422283824, 112672935, 1915711283, 182656537",Raytoran,"Catnip, Raytoran"
26,8852111225,1781460503,10176572,10175830,"89873399, 400190476, 249157519, 69119093, 86776312",m.,"417265967, 94051629, 23765698, 204524065, 99374795",Ayanakoji,"Ayanakoji, m."
27,8852109756,1781460413,10176573,10176567,"207300381, 48903560, 170319481, 149253098, 345032134",AA,"130098742, 129082342, 161190694, 58725449, 50964",BErt,"AA, BErt"
